campaign_id,ad_id,image_url,impressions,clicks,conversions,cost,revenue,date,platform
CAMP_001,AD_12345,https://example.com/ad1.jpg,15000,380,23,95000,345000,2025-11-01,instagram
CAMP_001,AD_12346,https://example.com/ad2.jpg,12500,310,18,77500,270000,2025-11-02,instagram
CAMP_001,AD_12347,https://example.com/ad3.jpg,18000,450,28,112500,420000,2025-11-03,instagram
CAMP_002,AD_22345,https://example.com/ad4.jpg,20000,400,20,100000,300000,2025-11-01,facebook
CAMP_002,AD_22346,https://example.com/ad5.jpg,22000,528,32,132000,480000,2025-11-02,facebook
CAMP_002,AD_22347,https://example.com/ad6.jpg,19000,456,27,114000,405000,2025-11-03,facebook
CAMP_003,AD_32345,https://example.com/ad7.jpg,25000,500,25,125000,375000,2025-11-01,google
CAMP_003,AD_32346,https://example.com/ad8.jpg,28000,560,30,140000,450000,2025-11-02,google
CAMP_003,AD_32347,https://example.com/ad9.jpg,26000,520,26,130000,390000,2025-11-03,google
CAMP_001,AD_12348,https://example.com/ad10.jpg,16000,384,24,96000,360000,2025-11-04,instagram
CAMP_002,AD_22348,https://example.com/ad11.jpg,21000,462,29,115500,435000,2025-11-04,facebook
CAMP_003,AD_32348,https://example.com/ad12.jpg,27000,540,28,135000,420000,2025-11-04,google
CAMP_001,AD_12349,https://example.com/ad13.jpg,14000,350,21,87500,315000,2025-11-05,instagram
CAMP_002,AD_22349,https://example.com/ad14.jpg,23000,506,31,126500,465000,2025-11-05,facebook
CAMP_003,AD_32349,https://example.com/ad15.jpg,29000,580,32,145000,480000,2025-11-05,google
CAMP_001,AD_12350,https://example.com/ad16.jpg,17000,425,26,106250,390000,2025-11-06,instagram
CAMP_002,AD_22350,https://example.com/ad17.jpg,20500,451,28,112750,420000,2025-11-06,facebook
CAMP_003,AD_32350,https://example.com/ad18.jpg,26500,530,27,132500,405000,2025-11-06,google
CAMP_001,AD_12351,https://example.com/ad19.jpg,15500,372,22,93000,330000,2025-11-07,instagram
CAMP_002,AD_22351,https://example.com/ad20.jpg,21500,473,30,118250,450000,2025-11-07,facebook
CAMP_003,AD_32351,https://example.com/ad21.jpg,27500,550,29,137500,435000,2025-11-07,google
CAMP_001,AD_12352,https://example.com/ad22.jpg,16500,396,25,99000,375000,2025-11-08,instagram
CAMP_002,AD_22352,https://example.com/ad23.jpg,22500,495,32,123750,480000,2025-11-08,facebook
CAMP_003,AD_32352,https://example.com/ad24.jpg,28500,570,31,142500,465000,2025-11-08,google
CAMP_001,AD_12353,https://example.com/ad25.jpg,14500,348,20,87000,300000,2025-11-09,instagram
CAMP_002,AD_22353,https://example.com/ad26.jpg,20000,440,26,110000,390000,2025-11-09,facebook
CAMP_003,AD_32353,https://example.com/ad27.jpg,25500,510,25,127500,375000,2025-11-09,google
CAMP_001,AD_12354,https://example.com/ad28.jpg,18500,444,28,111000,420000,2025-11-10,instagram
CAMP_002,AD_22354,https://example.com/ad29.jpg,24000,528,33,132000,495000,2025-11-10,facebook
CAMP_003,AD_32354,https://example.com/ad30.jpg,30000,600,35,150000,525000,2025-11-10,google
